,VoA Output,Difference from Mean,Difference from Median,Difference from Rank to Rank,"Difference from Q1, for teams in Q1","Difference from Q3, for teams in Q3",,
Ohio St,5.54347826086957,-40.9135542084726,-41.6182065217391,,-25.0090579710145,,,
LSU,8.97282608695652,-37.4842063823857,-38.1888586956522,3.42934782608695,-21.5797101449276,,,
Clemson,10.8369565217391,-35.6200759476031,-36.3247282608696,1.86413043478258,-19.715579710145,,,
Alabama,11.6757246376812,-34.781307831661,-35.4859601449275,0.8387681159421,-18.8768115942029,,,
Wisconsin,14.213768115942,-32.2432643534002,-32.9479166666667,2.5380434782608,-16.3387681159421,,,
Florida,14.8297101449275,-31.6273223244147,-32.3319746376812,0.6159420289855,-15.7228260869566,,,
Oregon,14.856884057971,-31.6001484113712,-32.3048007246377,0.0271739130435,-15.6956521739131,,,
Georgia,15.0797101449275,-31.3773223244147,-32.0819746376812,0.2228260869565,-15.4728260869566,,,
Penn St,15.4873188405797,-30.9697136287625,-31.674365942029,0.4076086956522,-15.0652173913044,,,
Oklahoma,16.5452898550725,-29.9117426142697,-30.6163949275362,1.0579710144928,-14.0072463768116,,,
Auburn,17.1721014492754,-29.2849310200668,-29.9895833333333,0.6268115942029,-13.3804347826087,,,
Notre Dame,18.1376811594203,-28.3193513099219,-29.0240036231884,0.9655797101449,-12.4148550724638,,,
Utah,18.2210144927536,-28.2360179765886,-28.9406702898551,0.0833333333333,-12.3315217391305,,,
Michigan,19.6739130434783,-26.7831194258639,-27.4877717391304,1.4528985507247,-10.8786231884058,,,
Minnesota,20.4528985507246,-26.0041339186176,-26.7087862318841,0.7789855072463,-10.0996376811595,,,
Baylor,20.7952898550725,-25.6617426142697,-26.3663949275362,0.3423913043479,-9.7572463768116,,,
Memphis,21.3315217391304,-25.1255107302118,-25.8301630434783,0.5362318840579,-9.2210144927537,,,
Iowa,21.856884057971,-24.6001484113712,-25.3048007246377,0.5253623188406,-8.6956521739131,,,
UCF,21.875,-24.5820324693422,-25.2866847826087,0.018115942029,-8.6775362318841,,,
UW,24.2391304347826,-22.2179020345596,-22.9225543478261,2.3641304347826,-6.3134057971015,,,
App St,24.9565217391304,-21.5005107302118,-22.2051630434783,0.7173913043478,-5.5960144927537,,,
Air Force,24.9673913043478,-21.4896411649944,-22.1942934782609,0.0108695652174,-5.5851449275363,,,
Texas A&M,25.5869565217391,-20.8700759476031,-21.5747282608696,0.6195652173913,-4.965579710145,,,
Navy,26.1467391304348,-20.3102933389074,-21.0149456521739,0.5597826086957,-4.4057971014493,,,
Texas,26.25,-20.2070324693422,-20.9116847826087,0.1032608695652,-4.3025362318841,,,
ULL,26.9891304347826,-19.4679020345596,-20.1725543478261,0.7391304347826,-3.5634057971015,,,
Boise St,27.1721014492754,-19.2849310200668,-19.9895833333333,0.1829710144928,-3.3804347826087,,,
Iowa St,28.2391304347826,-18.2179020345596,-18.9225543478261,1.0670289855072,-2.3134057971015,,,
UNC,28.9130434782609,-17.5439889910813,-18.2486413043478,0.6739130434783,-1.6394927536232,,,
Cincinnati,29.320652173913,-17.1363802954292,-17.8410326086957,0.4076086956521,-1.2318840579711,,,
Indiana,29.3695652173913,-17.0874672519509,-17.7921195652174,0.0489130434783,-1.1829710144928,,,
USC,30.5253623188406,-15.9316701505016,-16.6363224637681,1.1557971014493,-0.0271739130435,,,
Kentucky,30.5525362318841,-15.9044962374581,-16.6091485507246,0.0271739130435,0,,,
TCU,30.7608695652174,-15.6961629041248,-16.4008152173913,0.2083333333333,0.2083333333333,,,
Oklahoma St,31.304347826087,-15.1526846432552,-15.8573369565217,0.5434782608696,0.7518115942029,,,
Kansas St,31.945652173913,-14.5113802954292,-15.2160326086957,0.641304347826,1.3931159420289,,,
FAU,32.7717391304348,-13.6852933389074,-14.3899456521739,0.8260869565218,2.2192028985507,,,
