Week,Alabama,Georgia,Ohio St,Clemson,LSU,Oklahoma,Florida,Auburn,Notre Dame,Michigan,Texas
0,3,1,6,2,5,9,7,12,10,4,17
1,1,4,5,3,2,6,10,9,8,7,11
2,1,2,3,4,5,6,7,9,10,11,13
3,1,2,4,3,5,6,9,8,7,12,13
4,2,5,1,3,6,7,9,8,10,16,13
5,2,3,1,5,7,4,10,9,14,16,15
6,2,4,1,6,5,8,9,12,10,18,14
7,3,8,1,5,4,7,10,13,12,19,16
8,2,8,1,4,3,5,13,9,12,19,18
9,2,6,1,3,4,7,12,11,17,15,21
10,2,6,1,3,4,7,13,11,17,14,21
11,4,5,1,2,3,7,12,13,16,14,21
12,3,5,1,2,4,9,11,13,15,12,25
13,4,5,1,2,3,7,12,14,17,11,26
14,6,5,1,2,3,8,9,11,15,16,29
15,4,7,1,3,2,5,9,11,14,13,30
16,4,8,1,3,2,10,6,11,12,14,25
