Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,Alcorn (SWAC),13,9-4,388,21,192,1
1,Central Conn. St. (NEC),13,11-2,438,21,274,3
3,San Diego (Pioneer),12,9-3,334,19,120,1
3,UNI (MVFC),15,10-5,430,19,230,3
3,Illinois St. (MVFC),15,10-5,454,19,228,1
6,South Dakota St. (MVFC),13,8-5,354,18,164,2
7,Grambling (SWAC),11,6-5,370,17,448,4
7,North Dakota St. (MVFC),16,16-0,388,17,290,0
7,UIW (Southland),12,5-7,468,17,338,2
7,Weber St. (Big Sky),15,11-4,475,17,161,0
7,James Madison (CAA),16,14-2,490,17,272,2
12,Towson (CAA),12,7-5,363,16,274,2
12,Southeastern La. (Southland),13,8-5,498,16,353,3
12,Sam Houston (Southland),12,7-5,517,16,78,2
12,Montana (Big Sky),14,10-4,549,16,121,1
16,Florida A&M (MEAC),11,9-2,384,15,152,0
16,Southern U. (SWAC),13,8-5,416,15,147,1
16,Holy Cross (Patriot),13,7-6,418,15,164,2
16,Austin Peay (OVC),15,11-4,516,15,284,2
20,N.C. Central (MEAC),12,4-8,305,14,198,1
20,Dayton (Pioneer),11,8-3,331,14,306,1
20,Charleston So. (Big South),12,6-6,332,14,111,0
20,Princeton (Ivy League),10,8-2,336,14,179,0
20,South Carolina St. (MEAC),11,8-3,355,14,271,2
20,Northwestern St. (Southland),12,3-9,376,14,113,1
20,Southeast Mo. St. (OVC),13,9-4,431,14,172,2
20,Villanova (CAA),13,9-4,496,14,261,4
20,Montana St. (Big Sky),15,11-4,534,14,114,0
29,Elon (CAA),11,5-6,305,13,120,1
29,New Hampshire (CAA),11,6-5,321,13,209,2
29,Stetson (Pioneer),11,7-4,336,13,101,0
29,Norfolk St. (MEAC),12,5-7,350,13,247,2
29,UT Martin (OVC),12,7-5,389,13,144,2
29,Kennesaw St. (Big South),14,11-3,405,13,200,1
35,Georgetown (Patriot),11,5-6,266,12,112,0
35,Rhode Island (CAA),12,2-10,328,12,70,1
35,North Dakota (FCS Independent),12,7-5,344,12,176,0
35,Prairie View (SWAC),11,6-5,356,12,168,1
35,N.C. A&T (MEAC),12,9-3,361,12,101,0
35,Alabama A&M (SWAC),12,7-5,367,12,196,1
35,Sacred Heart (NEC),12,7-5,368,12,247,2
35,Northern Colo. (Big Sky),12,2-10,381,12,84,2
