Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,Southeastern La. (Southland),13,9-4,120,234,22,376
2,Eastern Wash. (Big Sky),13,10-3,103,221,17,341
3,UIW (Southland),13,10-3,90,210,29,329
4,South Dakota St. (MVFC),15,11-4,142,159,18,319
5,James Madison (CAA),14,12-2,108,174,23,305
6,Sacramento St. (Big Sky),12,9-3,117,165,19,301
6,Nicholls (Southland),11,6-5,142,130,29,301
8,Presbyterian (Pioneer),11,2-9,86,179,29,294
8,North Dakota St. (MVFC),15,14-1,196,86,12,294
10,Sam Houston (ASUN),12,11-1,127,132,31,290
10,Montana St. (Big Sky),15,12-3,154,122,14,290
12,ETSU (SoCon),13,11-2,147,116,15,278
13,Southern Ill. (MVFC),13,8-5,115,137,24,276
14,Missouri St. (MVFC),12,8-4,109,138,26,273
15,Kennesaw St. (Big South),13,11-2,185,66,20,271
16,UC Davis (Big Sky),12,8-4,120,135,15,270
17,Holy Cross (Patriot),13,10-3,135,110,19,264
18,Portland St. (Big Sky),11,5-6,90,146,27,263
18,Norfolk St. (MEAC),11,6-5,125,107,31,263
20,Morehead St. (Pioneer),11,7-4,55,184,20,259
21,Montana (Big Sky),13,10-3,98,135,22,255
22,VMI (SoCon),11,6-5,94,130,29,253
23,Alabama A&M (SWAC),10,7-3,63,156,33,252
24,Western Caro. (SoCon),11,4-7,80,151,20,251
24,Brown (Ivy League),10,2-8,83,157,11,251
26,Bryant (NEC),11,7-4,91,133,26,250
27,UT Martin (OVC),13,10-3,131,95,22,249
28,SFA (ASUN),12,8-4,94,134,20,248
28,Florida A&M (SWAC),12,9-3,102,123,23,248
30,Samford (SoCon),11,4-7,84,146,17,247
30,Sacred Heart (NEC),12,8-4,134,91,22,247
30,Davidson (Pioneer),11,8-3,180,53,14,247
33,Fordham (Patriot),11,6-5,81,151,14,246
34,South Dakota (MVFC),12,7-5,116,106,22,244
35,Central Ark. (ASUN),11,5-6,88,131,20,239
36,Jackson St. (SWAC),13,11-2,65,146,27,238
37,Villanova (CAA),13,10-3,104,113,19,236
38,North Dakota (MVFC),11,5-6,91,126,15,232
38,Monmouth (Big South),11,7-4,91,128,13,232
40,Prairie View (SWAC),12,7-5,105,110,16,231
41,Hampton (Big South),11,5-6,109,106,12,227
42,Austin Peay (OVC),11,6-5,87,113,25,225
43,The Citadel (SoCon),11,4-7,171,38,10,219
43,Northern Ariz. (Big Sky),11,5-6,103,101,15,219
43,Alcorn (SWAC),11,6-5,96,107,16,219
46,Murray St. (OVC),11,6-5,110,85,23,218
46,McNeese (Southland),11,4-7,97,105,16,218
48,Western Ill. (MVFC),11,2-9,42,145,28,215
48,Stetson (Pioneer),10,3-7,93,109,13,215
48,Southern U. (SWAC),11,4-7,113,85,17,215
48,Northwestern St. (Southland),11,3-8,93,95,27,215
52,Stony Brook (CAA),11,5-6,115,80,19,214
52,Campbell (Big South),11,3-8,71,123,20,214
54,Weber St. (Big Sky),11,6-5,99,102,12,213
54,San Diego (Pioneer),11,7-4,79,118,16,213
54,Butler (Pioneer),11,3-8,104,92,17,213
57,Southern Utah (Big Sky),11,1-10,54,121,36,211
57,Princeton (Ivy League),10,9-1,83,116,12,211
57,Jacksonville St. (ASUN),11,5-6,91,103,17,211
57,Eastern Ky. (ASUN),11,7-4,77,111,23,211
57,Central Conn. St. (NEC),11,4-7,82,106,23,211
62,Gardner-Webb (Big South),11,4-7,83,108,19,210
63,Idaho (Big Sky),11,4-7,98,90,21,209
64,UNI (MVFC),12,6-6,86,107,15,208
64,Abilene Christian (ASUN),11,5-6,95,102,11,208
66,Dartmouth (Ivy League),10,9-1,94,96,15,205
66,Charleston So. (Big South),10,4-6,72,112,21,205
68,Idaho St. (Big Sky),11,1-10,90,97,17,204
68,Howard (MEAC),11,3-8,77,110,17,204
68,Dayton (Pioneer),10,6-4,81,108,15,204
71,Mercer (SoCon),10,7-3,104,85,13,203
72,Texas Southern (SWAC),10,2-8,84,101,16,201
72,Elon (CAA),11,6-5,51,131,19,201
72,Chattanooga (SoCon),11,6-5,92,90,19,201
75,N.C. Central (MEAC),11,6-5,79,102,19,200
75,Maine (CAA),11,6-5,78,108,14,200
77,Yale (Ivy League),10,5-5,79,103,17,199
77,Richmond (CAA),11,6-5,86,100,13,199
79,Towson (CAA),11,4-7,87,97,13,197
79,Rhode Island (CAA),11,7-4,82,96,19,197
79,Furman (SoCon),11,6-5,103,86,8,197
79,Duquesne (NEC),10,7-3,81,87,29,197
79,Colgate (Patriot),11,5-6,89,87,21,197
84,South Carolina St. (MEAC),12,7-5,70,111,15,196
84,Alabama St. (SWAC),11,5-6,72,103,21,196
86,Southeast Mo. St. (OVC),11,4-7,98,80,16,194
86,N.C. A&T (Big South),11,5-6,86,83,25,194
88,Tennessee St. (OVC),11,5-6,79,97,17,193
89,Delaware (CAA),11,5-6,80,89,22,191
90,Youngstown St. (MVFC),10,3-7,111,65,11,187
90,Harvard (Ivy League),10,8-2,67,91,29,187
90,Cal Poly (Big Sky),11,2-9,62,108,17,187
93,Tennessee Tech (OVC),11,3-8,85,81,19,185
94,Cornell (Ivy League),10,2-8,62,105,16,183
95,Robert Morris (Big South),10,4-6,51,108,21,180
96,Ark.-Pine Bluff (SWAC),11,2-9,66,89,24,179
97,Indiana St. (MVFC),11,5-6,67,93,17,177
97,Eastern Ill. (OVC),11,1-10,58,89,30,177
97,Delaware St. (MEAC),11,5-6,87,74,16,177
100,Mississippi Val. (SWAC),11,4-7,88,69,19,176
100,Marist (Pioneer),10,5-5,60,88,28,176
100,Bethune-Cookman (SWAC),11,2-9,59,100,17,176
103,Georgetown (Patriot),10,2-8,47,114,14,175
103,UAlbany (CAA),11,2-9,61,93,21,175
105,Wofford (SoCon),11,1-10,103,57,14,174
106,William & Mary (CAA),11,6-5,99,64,10,173
107,Houston Baptist (Southland),11,0-11,46,104,22,172
108,Columbia (Ivy League),10,7-3,79,67,25,171
109,Valparaiso (Pioneer),11,4-7,71,84,15,170
110,Lafayette (Patriot),11,3-8,70,85,10,165
111,Penn (Ivy League),10,3-7,70,76,18,164
112,Lehigh (Patriot),11,3-8,57,85,19,161
113,Saint Francis (PA) (NEC),11,5-6,66,85,9,160
113,New Hampshire (CAA),11,3-8,50,89,21,160
115,Northern Colo. (Big Sky),11,3-8,64,78,17,159
116,Morgan St. (MEAC),11,2-9,69,65,21,155
117,Wagner (NEC),11,0-11,83,48,21,152
117,Illinois St. (MVFC),11,4-7,73,58,21,152
119,LIU (NEC),10,2-8,62,74,14,150
120,Grambling (SWAC),11,4-7,68,57,17,142
120,Drake (Pioneer),10,2-8,53,76,13,142
122,Bucknell (Patriot),11,1-10,50,64,23,137
123,Lamar University (ASUN),10,1-9,80,43,13,136
