Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,Idaho (Big Sky),12,5-7,27,693,1,25.67
2,Richmond (CAA),12,5-7,32,793,2,24.78
3,Eastern Ky. (OVC),12,7-5,29,718,0,24.76
4,Elon (CAA),11,5-6,21,515,1,24.52
5,VMI (SoCon),12,5-7,44,"1,069",0,24.30
6,James Madison (CAA),16,14-2,32,773,1,24.16
7,Bethune-Cookman (MEAC),11,7-4,39,942,1,24.15
8,Kennesaw St. (Big South),14,11-3,36,858,0,23.83
9,Mercer (SoCon),12,4-8,44,"1,048",1,23.82
10,William & Mary (CAA),12,5-7,44,"1,041",2,23.66
11,Houston Baptist (Southland),12,5-7,57,"1,347",2,23.63
12,UIW (Southland),12,5-7,36,834,2,23.17
13,Villanova (CAA),13,9-4,44,"1,014",1,23.05
14,Montana (Big Sky),14,10-4,47,"1,083",2,23.04
15,Columbia (Ivy League),10,3-7,29,665,0,22.93
16,Towson (CAA),12,7-5,47,"1,071",1,22.79
17,Southern U. (SWAC),13,8-5,39,884,1,22.67
18,Monmouth (Big South),14,11-3,35,790,1,22.57
19,Morehead St. (Pioneer),12,5-7,45,"1,013",2,22.51
20,North Dakota (FCS Independent),12,7-5,36,809,0,22.47
21,North Dakota St. (MVFC),16,16-0,33,741,1,22.45
22,Sacred Heart (NEC),12,7-5,38,851,0,22.39
23,Alabama St. (SWAC),11,5-6,26,581,0,22.35
24,New Hampshire (CAA),11,6-5,36,797,0,22.14
25,Maine (CAA),12,6-6,39,862,2,22.10
26,Gardner-Webb (Big South),12,3-9,49,"1,082",1,22.08
27,Mississippi Val. (SWAC),11,2-9,38,834,1,21.95
28,Chattanooga (SoCon),12,6-6,15,327,0,21.80
29,Youngstown St. (MVFC),12,6-6,30,648,0,21.60
30,Princeton (Ivy League),10,8-2,17,367,0,21.59
31,Dayton (Pioneer),11,8-3,47,"1,011",1,21.51
32,Rhode Island (CAA),12,2-10,55,"1,183",2,21.51
33,Florida A&M (MEAC),11,9-2,43,924,1,21.49
34,Stetson (Pioneer),11,7-4,41,879,0,21.44
35,Samford (SoCon),12,5-7,26,556,0,21.38
36,Penn (Ivy League),10,5-5,11,235,0,21.36
37,Saint Francis (PA) (NEC),12,6-6,46,982,0,21.35
38,Wagner (NEC),12,1-11,42,894,0,21.29
39,Idaho St. (Big Sky),12,3-9,27,573,0,21.22
40,Ark.-Pine Bluff (SWAC),11,6-5,33,700,0,21.21
41,Valparaiso (Pioneer),12,1-11,50,"1,049",1,20.98
42,McNeese (Southland),12,7-5,34,713,2,20.97
43,ETSU (SoCon),12,3-9,42,880,0,20.95
44,Fordham (Patriot),12,4-8,50,"1,047",0,20.94
45,Colgate (Patriot),12,4-8,43,900,0,20.93
46,Wofford (SoCon),12,8-4,26,540,0,20.77
47,South Dakota (MVFC),12,5-7,19,394,0,20.74
48,Indiana St. (MVFC),12,5-7,36,745,0,20.69
49,Delaware St. (MEAC),12,2-10,57,"1,175",0,20.61
50,Montana St. (Big Sky),15,11-4,31,636,0,20.52
50,The Citadel (SoCon),12,6-6,31,636,0,20.52
52,UAlbany (CAA),14,9-5,49,"1,004",1,20.49
53,Cal Poly (Big Sky),11,3-8,36,735,0,20.42
54,Western Ill. (MVFC),12,1-11,57,"1,163",0,20.40
55,Butler (Pioneer),12,3-9,50,"1,017",0,20.34
56,Nicholls (Southland),14,9-5,27,549,0,20.33
57,South Dakota St. (MVFC),13,8-5,36,731,0,20.31
58,Central Ark. (Southland),13,9-4,47,951,1,20.23
59,Yale (Ivy League),10,9-1,26,526,1,20.23
60,Western Caro. (SoCon),12,3-9,33,662,0,20.06
61,UC Davis (Big Sky),12,5-7,40,801,1,20.03
62,Duquesne (NEC),11,6-5,44,879,0,19.98
63,Illinois St. (MVFC),15,10-5,31,619,0,19.97
64,Southeast Mo. St. (OVC),13,9-4,26,518,0,19.92
65,Tennessee St. (OVC),12,3-9,50,996,1,19.92
66,SFA (Southland),12,3-9,47,935,0,19.89
67,Davidson (Pioneer),12,8-4,31,616,0,19.87
68,Weber St. (Big Sky),15,11-4,39,774,0,19.85
69,San Diego (Pioneer),12,9-3,34,673,1,19.79
70,Bryant (NEC),12,4-8,47,925,1,19.68
71,Central Conn. St. (NEC),13,11-2,30,590,0,19.67
72,Abilene Christian (Southland),12,5-7,28,550,1,19.64
73,Campbell (Big South),11,6-5,30,589,0,19.63
74,Hampton (Big South),12,5-7,43,838,0,19.49
75,Sam Houston (Southland),12,7-5,25,487,0,19.48
76,Southeastern La. (Southland),13,8-5,46,896,0,19.48
77,Tennessee Tech (OVC),12,6-6,33,642,1,19.45
78,Jackson St. (SWAC),12,4-8,53,"1,031",2,19.45
79,Murray St. (OVC),12,4-8,26,498,1,19.15
80,Holy Cross (Patriot),13,7-6,31,593,0,19.13
81,Lehigh (Patriot),11,4-7,31,589,0,19.00
82,Delaware (CAA),12,5-7,48,906,0,18.88
83,Prairie View (SWAC),11,6-5,30,565,0,18.83
84,Dartmouth (Ivy League),10,9-1,4,75,0,18.75
85,Drake (Pioneer),11,6-5,30,562,0,18.73
86,Sacramento St. (Big Sky),13,9-4,10,187,0,18.70
87,N.C. A&T (MEAC),12,9-3,40,745,0,18.63
88,Southern Utah (Big Sky),12,3-9,53,986,0,18.60
89,Northern Ariz. (Big Sky),12,4-8,40,744,0,18.60
90,Northern Colo. (Big Sky),12,2-10,41,758,0,18.49
91,Eastern Wash. (Big Sky),12,7-5,34,628,1,18.47
92,UT Martin (OVC),12,7-5,32,591,0,18.47
93,Jacksonville (Pioneer),12,3-9,50,923,0,18.46
94,Alabama A&M (SWAC),12,7-5,59,"1,088",0,18.44
