Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Houston Baptist (Southland),4,1-3,217,142,2,"1,838",8.47,12.94,15,459.5
2,Southeastern La. (Southland),7,4-3,311,215,4,"2,743",8.82,12.76,21,391.9
3,UIW (Southland),6,3-3,304,184,4,"2,263",7.44,12.30,25,377.2
4,Eastern Wash. (Big Sky),7,5-2,305,189,7,"2,580",8.46,13.65,21,368.6
5,Samford (SoCon),7,4-3,294,199,7,"2,472",8.41,12.42,13,353.1
6,Fordham (Patriot),3,2-1,129,93,3,"1,049",8.13,11.28,5,349.7
7,Alabama A&M (SWAC),4,4-0,159,91,4,"1,355",8.52,14.89,16,338.8
8,Idaho St. (Big Sky),6,2-4,219,118,10,"1,857",8.48,15.74,12,309.5
9,VMI (SoCon),8,6-2,344,246,6,"2,475",7.19,10.06,17,309.4
10,Montana (Big Sky),2,2-0,72,47,1,593,8.24,12.62,6,296.5
11,Western Ill. (MVFC),6,1-5,280,181,6,"1,761",6.29,9.73,8,293.5
12,Southern Utah (Big Sky),6,1-5,236,155,3,"1,703",7.22,10.99,15,283.8
13,Sam Houston (Southland),10,10-0,334,196,10,"2,815",8.43,14.36,20,281.5
14,Northwestern St. (Southland),6,1-5,249,129,7,"1,682",6.76,13.04,9,280.3
15,Prairie View (SWAC),3,2-1,118,60,6,795,6.74,13.25,4,265
16,San Diego (Pioneer),6,4-2,203,128,11,"1,561",7.69,12.20,10,260.2
17,Monmouth (Big South),4,3-1,128,80,2,"1,039",8.12,12.99,9,259.8
18,UT Martin (OVC),7,3-4,287,171,7,"1,812",6.31,10.60,15,258.9
19,Nicholls (Southland),7,4-3,234,134,7,"1,807",7.72,13.49,20,258.1
20,Presbyterian (Pioneer),7,4-3,246,146,6,"1,802",7.33,12.34,12,257.4
21,Northern Ariz. (Big Sky),5,3-2,172,101,4,"1,269",7.38,12.56,4,253.8
22,Ark.-Pine Bluff (SWAC),5,4-1,183,104,6,"1,258",6.87,12.10,14,251.6
23,Charleston So. (Big South),4,2-2,142,89,4,"1,004",7.07,11.28,7,251
