Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,Samford (SoCon),12,5-7,17,330,1,19.41
2,San Diego (Pioneer),12,9-3,13,247,0,19.00
3,Wofford (SoCon),12,8-4,13,246,1,18.92
4,UT Martin (OVC),12,7-5,22,397,2,18.05
5,Columbia (Ivy League),10,3-7,14,242,1,17.29
6,Dartmouth (Ivy League),10,9-1,18,295,1,16.39
7,Grambling (SWAC),11,6-5,11,173,1,15.73
8,Kennesaw St. (Big South),14,11-3,26,408,1,15.69
9,Howard (MEAC),12,2-10,13,203,0,15.62
10,Murray St. (OVC),12,4-8,10,154,1,15.40
11,Butler (Pioneer),12,3-9,10,152,0,15.20
12,Montana (Big Sky),14,10-4,18,265,1,14.72
13,Penn (Ivy League),10,5-5,7,92,1,13.14
14,Bethune-Cookman (MEAC),11,7-4,20,259,0,12.95
15,Dayton (Pioneer),11,8-3,13,168,0,12.92
16,James Madison (CAA),16,14-2,37,472,1,12.76
17,Maine (CAA),12,6-6,16,202,0,12.63
18,Morgan St. (MEAC),12,3-9,14,175,1,12.50
19,Saint Francis (PA) (NEC),12,6-6,23,281,0,12.22
20,Georgetown (Patriot),11,5-6,19,225,1,11.84
21,North Dakota St. (MVFC),16,16-0,30,350,0,11.67
22,Southeast Mo. St. (OVC),13,9-4,25,291,1,11.64
23,Tennessee St. (OVC),12,3-9,17,197,2,11.59
24,Delaware (CAA),12,5-7,13,148,1,11.38
25,South Dakota St. (MVFC),13,8-5,29,328,1,11.31
26,Delaware St. (MEAC),12,2-10,17,188,1,11.06
27,Weber St. (Big Sky),15,11-4,32,350,1,10.94
28,Prairie View (SWAC),11,6-5,17,185,1,10.88
29,Yale (Ivy League),10,9-1,13,140,0,10.77
30,Youngstown St. (MVFC),12,6-6,33,353,1,10.70
31,Indiana St. (MVFC),12,5-7,17,180,1,10.59
32,Robert Morris (NEC),12,7-5,16,169,2,10.56
33,Marist (Pioneer),11,4-7,15,158,0,10.53
34,Jackson St. (SWAC),12,4-8,11,114,1,10.36
35,Montana St. (Big Sky),15,11-4,29,300,0,10.34
36,Hampton (Big South),12,5-7,13,133,1,10.23
37,Rhode Island (CAA),12,2-10,21,213,0,10.14
38,Campbell (Big South),11,6-5,15,151,1,10.07
39,Lamar University (Southland),12,4-8,28,280,0,10.00
40,Cornell (Ivy League),10,4-6,20,198,1,9.90
41,Ark.-Pine Bluff (SWAC),11,6-5,16,158,0,9.88
42,Central Conn. St. (NEC),13,11-2,20,196,1,9.80
43,North Dakota (FCS Independent),12,7-5,11,107,2,9.73
44,Alcorn (SWAC),13,9-4,19,184,0,9.68
45,Duquesne (NEC),11,6-5,20,186,1,9.30
46,Jacksonville (Pioneer),12,3-9,8,73,0,9.13
46,Furman (SoCon),13,8-5,16,146,0,9.13
48,Southeastern La. (Southland),13,8-5,22,200,1,9.09
49,Eastern Ky. (OVC),12,7-5,17,153,0,9.00
50,Southern Utah (Big Sky),12,3-9,14,125,0,8.93
51,Idaho (Big Sky),12,5-7,17,150,0,8.82
52,Stony Brook (CAA),12,5-7,19,167,0,8.79
53,Colgate (Patriot),12,4-8,15,131,0,8.73
54,Princeton (Ivy League),10,8-2,15,130,0,8.67
55,Austin Peay (OVC),15,11-4,26,225,0,8.65
56,South Carolina St. (MEAC),11,8-3,26,223,2,8.58
57,Fordham (Patriot),12,4-8,8,68,0,8.50
57,Lafayette (Patriot),12,4-8,4,34,0,8.50
