Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Kennesaw St. (Big South),14,11-3,761,"4,794",6.30,58,342.4
2,Davidson (Pioneer),12,8-4,720,"3,871",5.38,44,322.6
3,Wofford (SoCon),12,8-4,610,"3,669",6.01,42,305.8
4,North Dakota St. (MVFC),16,16-0,719,"4,601",6.40,50,287.6
5,Jacksonville (Pioneer),12,3-9,630,"3,295",5.23,30,274.6
6,The Citadel (SoCon),12,6-6,738,"3,218",4.36,31,268.2
7,Furman (SoCon),13,8-5,582,"3,454",5.93,39,265.7
8,Montana St. (Big Sky),15,11-4,681,"3,871",5.68,44,258.1
9,Cal Poly (Big Sky),11,3-8,660,"2,800",4.24,21,254.5
10,James Madison (CAA),16,14-2,782,"3,886",4.97,43,242.9
11,N.C. A&T (MEAC),12,9-3,478,"2,817",5.89,34,234.8
12,Southern Ill. (MVFC),12,7-5,545,"2,801",5.14,28,233.4
13,Southern U. (SWAC),13,8-5,565,"2,972",5.26,36,228.6
14,Stetson (Pioneer),11,7-4,424,"2,452",5.78,22,222.9
15,Dayton (Pioneer),11,8-3,399,"2,413",6.05,29,219.4
16,Prairie View (SWAC),11,6-5,446,"2,389",5.36,27,217.2
17,Central Conn. St. (NEC),13,11-2,535,"2,785",5.21,33,214.2
18,Grambling (SWAC),11,6-5,454,"2,334",5.14,21,212.2
19,Eastern Wash. (Big Sky),12,7-5,471,"2,493",5.29,29,207.8
20,Eastern Ky. (OVC),12,7-5,520,"2,466",4.74,29,205.5
21,Monmouth (Big South),14,11-3,537,"2,869",5.34,33,204.9
22,Stony Brook (CAA),12,5-7,507,"2,414",4.76,19,201.2
23,South Dakota St. (MVFC),13,8-5,480,"2,576",5.37,26,198.2
24,Chattanooga (SoCon),12,6-6,496,"2,372",4.78,26,197.7
25,Nicholls (Southland),14,9-5,584,"2,759",4.72,36,197.1
26,Portland St. (Big Sky),12,5-7,521,"2,349",4.51,24,195.8
27,Villanova (CAA),13,9-4,481,"2,523",5.25,25,194.1
28,Jackson St. (SWAC),12,4-8,503,"2,255",4.48,16,187.9
29,Youngstown St. (MVFC),12,6-6,497,"2,249",4.53,26,187.4
30,William & Mary (CAA),12,5-7,527,"2,232",4.24,26,186
31,South Dakota (MVFC),12,5-7,486,"2,226",4.58,20,185.5
32,Campbell (Big South),11,6-5,470,"2,028",4.31,22,184.4
33,Illinois St. (MVFC),15,10-5,645,"2,733",4.24,24,182.2
34,Austin Peay (OVC),15,11-4,596,"2,694",4.52,34,179.6
35,Indiana St. (MVFC),12,5-7,502,"2,148",4.28,16,179
36,San Diego (Pioneer),12,9-3,413,"2,129",5.15,28,177.4
37,Hampton (Big South),12,5-7,454,"2,067",4.55,19,172.3
37,Lamar University (Southland),12,4-8,538,"2,067",3.84,18,172.3
39,ETSU (SoCon),12,3-9,425,"2,062",4.85,15,171.8
40,Duquesne (NEC),11,6-5,469,"1,890",4.03,14,171.8
41,Sacramento St. (Big Sky),13,9-4,471,"2,201",4.67,29,169.3
42,Abilene Christian (Southland),12,5-7,448,"2,027",4.52,22,168.9
43,Dartmouth (Ivy League),10,9-1,366,"1,670",4.56,17,167
44,McNeese (Southland),12,7-5,560,"1,984",3.54,12,165.3
45,Princeton (Ivy League),10,8-2,386,"1,647",4.27,23,164.7
46,Samford (SoCon),12,5-7,488,"1,974",4.05,22,164.5
47,Idaho (Big Sky),12,5-7,477,"1,966",4.12,16,163.8
48,Morehead St. (Pioneer),12,5-7,469,"1,957",4.17,20,163.1
49,Bethune-Cookman (MEAC),11,7-4,394,"1,785",4.53,20,162.3
50,Southeast Mo. St. (OVC),13,9-4,483,"2,102",4.35,24,161.7
51,Ark.-Pine Bluff (SWAC),11,6-5,411,"1,772",4.31,22,161.1
52,Sacred Heart (NEC),12,7-5,464,"1,932",4.16,15,161
53,Yale (Ivy League),10,9-1,380,"1,585",4.17,18,158.5
54,Alabama A&M (SWAC),12,7-5,448,"1,873",4.18,21,156.1
