Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,Davidson (Pioneer),11,8-3,151,80,0.53
2,Southeastern La. (Southland),13,9-4,167,87,0.521
3,Eastern Wash. (Big Sky),13,10-3,205,101,0.493
4,Kennesaw St. (Big South),13,11-2,173,83,0.48
5,North Dakota St. (MVFC),15,14-1,180,85,0.472
6,Hampton (Big South),11,5-6,152,71,0.467
7,UIW (Southland),13,10-3,177,81,0.458
8,Nicholls (Southland),11,6-5,139,63,0.453
9,The Citadel (SoCon),11,4-7,176,79,0.449
10,Portland St. (Big Sky),11,5-6,146,65,0.445
11,Missouri St. (MVFC),12,8-4,173,77,0.445
12,James Madison (CAA),14,12-2,196,87,0.444
13,Bryant (NEC),11,7-4,151,67,0.444
14,Dartmouth (Ivy League),10,9-1,122,54,0.443
15,Morehead St. (Pioneer),11,7-4,159,70,0.44
16,Duquesne (NEC),10,7-3,123,54,0.439
17,Sam Houston (ASUN),12,11-1,169,74,0.438
18,ETSU (SoCon),13,11-2,166,72,0.434
19,Brown (Ivy League),10,2-8,164,71,0.433
20,Youngstown St. (MVFC),10,3-7,141,61,0.433
21,South Dakota St. (MVFC),15,11-4,190,82,0.432
22,Elon (CAA),11,6-5,163,70,0.429
22,Monmouth (Big South),11,7-4,163,70,0.429
24,Abilene Christian (ASUN),11,5-6,140,60,0.429
25,Dayton (Pioneer),10,6-4,136,58,0.426
26,Mercer (SoCon),10,7-3,127,54,0.425
27,VMI (SoCon),11,6-5,167,71,0.425
28,Fordham (Patriot),11,6-5,136,57,0.419
29,Central Ark. (ASUN),11,5-6,141,59,0.418
30,Southern U. (SWAC),11,4-7,153,64,0.418
31,Samford (SoCon),11,4-7,154,64,0.416
32,Norfolk St. (MEAC),11,6-5,142,59,0.415
33,Georgetown (Patriot),10,2-8,160,66,0.412
34,North Dakota (MVFC),11,5-6,148,61,0.412
35,Jacksonville St. (ASUN),11,5-6,153,63,0.412
35,UT Martin (OVC),13,10-3,187,77,0.412
37,Holy Cross (Patriot),13,10-3,180,74,0.411
38,Alabama A&M (SWAC),10,7-3,132,54,0.409
39,Princeton (Ivy League),10,9-1,152,62,0.408
40,Murray St. (OVC),11,6-5,157,64,0.408
41,Chattanooga (SoCon),11,6-5,145,59,0.407
42,UC Davis (Big Sky),12,8-4,182,74,0.407
43,Montana St. (Big Sky),15,12-3,202,82,0.406
44,Robert Morris (Big South),10,4-6,138,56,0.406
45,Furman (SoCon),11,6-5,161,65,0.404
45,Weber St. (Big Sky),11,6-5,161,65,0.404
47,SFA (ASUN),12,8-4,166,67,0.404
48,Sacred Heart (NEC),12,8-4,156,62,0.397
49,South Dakota (MVFC),12,7-5,164,65,0.396
50,Austin Peay (OVC),11,6-5,197,78,0.396
51,Northwestern St. (Southland),11,3-8,177,70,0.395
52,Western Caro. (SoCon),11,4-7,167,66,0.395
53,Eastern Ky. (ASUN),11,7-4,157,62,0.395
54,Prairie View (SWAC),12,7-5,180,71,0.394
55,Howard (MEAC),11,3-8,132,52,0.394
56,Alcorn (SWAC),11,6-5,160,63,0.394
57,Rhode Island (CAA),11,7-4,155,61,0.394
58,Charleston So. (Big South),10,4-6,174,68,0.391
59,Florida A&M (SWAC),12,9-3,171,66,0.386
60,Butler (Pioneer),11,3-8,141,54,0.383
61,Southern Utah (Big Sky),11,1-10,149,57,0.383
62,Jackson St. (SWAC),13,11-2,168,64,0.381
63,Idaho St. (Big Sky),11,1-10,171,65,0.38
64,Alabama St. (SWAC),11,5-6,156,59,0.378
65,Stony Brook (CAA),11,5-6,159,60,0.377
66,Sacramento St. (Big Sky),12,9-3,165,62,0.376
67,Maine (CAA),11,6-5,147,55,0.374
68,Villanova (CAA),13,10-3,169,63,0.373
69,Texas Southern (SWAC),10,2-8,132,49,0.371
70,N.C. A&T (Big South),11,5-6,141,52,0.369
71,Richmond (CAA),11,6-5,155,57,0.368
72,Bethune-Cookman (SWAC),11,2-9,128,47,0.367
73,McNeese (Southland),11,4-7,175,64,0.366
74,Montana (Big Sky),13,10-3,189,69,0.365
75,Yale (Ivy League),10,5-5,137,50,0.365
76,Harvard (Ivy League),10,8-2,151,55,0.364
77,Tennessee St. (OVC),11,5-6,149,54,0.362
78,Stetson (Pioneer),10,3-7,167,60,0.359
79,Wofford (SoCon),11,1-10,131,47,0.359
80,Campbell (Big South),11,3-8,148,53,0.358
80,N.C. Central (MEAC),11,6-5,148,53,0.358
82,Northern Ariz. (Big Sky),11,5-6,176,63,0.358
83,Tennessee Tech (OVC),11,3-8,154,55,0.357
84,Idaho (Big Sky),11,4-7,138,49,0.355
85,Lafayette (Patriot),11,3-8,150,53,0.353
86,San Diego (Pioneer),11,7-4,153,54,0.353
87,Saint Francis (PA) (NEC),11,5-6,145,50,0.345
88,Towson (CAA),11,4-7,157,54,0.344
89,Presbyterian (Pioneer),11,2-9,179,61,0.341
90,Western Ill. (MVFC),11,2-9,160,54,0.338
91,Southern Ill. (MVFC),13,8-5,178,59,0.331
92,Albany (NY) (CAA),11,2-9,154,51,0.331
93,Valparaiso (Pioneer),11,4-7,148,49,0.331
94,Central Conn. St. (NEC),11,4-7,170,56,0.329
95,William & Mary (CAA),11,6-5,144,47,0.326
96,LIU (NEC),10,2-8,133,43,0.323
97,Penn (Ivy League),10,3-7,134,43,0.321
98,UNI (MVFC),12,6-6,167,53,0.317
99,Marist (Pioneer),10,5-5,124,39,0.315
100,Indiana St. (MVFC),11,5-6,153,48,0.314
101,Colgate (Patriot),11,5-6,138,43,0.312
102,Drake (Pioneer),10,2-8,142,44,0.31
103,Southeast Mo. St. (OVC),11,4-7,167,51,0.305
104,Mississippi Val. (SWAC),11,4-7,151,46,0.305
105,Delaware St. (MEAC),11,5-6,161,49,0.304
106,Delaware (CAA),11,5-6,145,44,0.303
107,Gardner-Webb (Big South),11,4-7,151,45,0.298
108,Cal Poly (Big Sky),11,2-9,178,53,0.298
108,South Carolina St. (MEAC),12,7-5,178,53,0.298
110,Houston Baptist (Southland),11,0-11,168,50,0.298
111,Cornell (Ivy League),10,2-8,147,43,0.293
112,Columbia (Ivy League),10,7-3,155,45,0.29
113,Grambling (SWAC),11,4-7,162,46,0.284
114,Lamar University (ASUN),10,1-9,127,35,0.276
115,Illinois St. (MVFC),11,4-7,135,37,0.274
116,Morgan St. (MEAC),11,2-9,143,39,0.273
117,Lehigh (Patriot),11,3-8,147,40,0.272
118,Ark.-Pine Bluff (SWAC),11,2-9,148,40,0.27
119,Northern Colo. (Big Sky),11,3-8,167,43,0.257
120,Eastern Ill. (OVC),11,1-10,166,42,0.253
121,Bucknell (Patriot),11,1-10,153,37,0.242
122,Wagner (NEC),11,0-11,167,40,0.24
123,New Hampshire (CAA),11,3-8,133,30,0.226
