Rank,Team,G,W-L,TOP,AvgTOP
1,Portland St. (Big Sky),12,5-7,418:11,34:50
2,Davidson (Pioneer),12,8-4,415:06,34:35
3,The Citadel (SoCon),12,6-6,411:17,34:16
4,Yale (Ivy League),10,9-1,340:33,34:03
5,Wofford (SoCon),12,8-4,405:37,33:48
6,Cal Poly (Big Sky),11,3-8,367:55,33:26
7,James Madison (CAA),16,14-2,531:51,33:14
8,Central Conn. St. (NEC),13,11-2,431:17,33:10
9,Hampton (Big South),12,5-7,392:09,32:40
10,N.C. A&T (MEAC),12,9-3,389:56,32:29
11,Youngstown St. (MVFC),12,6-6,386:33,32:12
12,Tennessee Tech (OVC),12,6-6,386:12,32:11
12,Colgate (Patriot),12,4-8,386:12,32:11
14,Eastern Ky. (OVC),12,7-5,384:27,32:02
15,Indiana St. (MVFC),12,5-7,384:08,32:00
16,San Diego (Pioneer),12,9-3,383:35,31:57
17,North Dakota St. (MVFC),16,16-0,510:20,31:53
18,Southern Ill. (MVFC),12,7-5,382:28,31:52
19,Kennesaw St. (Big South),14,11-3,446:09,31:52
20,Weber St. (Big Sky),15,11-4,473:12,31:32
21,Sam Houston (Southland),12,7-5,377:35,31:27
22,Wagner (NEC),12,1-11,376:52,31:24
23,Montana St. (Big Sky),15,11-4,470:37,31:22
24,Howard (MEAC),12,2-10,376:15,31:21
25,Monmouth (Big South),14,11-3,438:52,31:20
26,Sacramento St. (Big Sky),13,9-4,406:45,31:17
27,Cornell (Ivy League),10,4-6,312:17,31:13
28,Southern U. (SWAC),13,8-5,404:55,31:08
29,Idaho (Big Sky),12,5-7,373:41,31:08
30,Duquesne (NEC),11,6-5,342:10,31:06
31,Nicholls (Southland),14,9-5,435:19,31:05
32,Columbia (Ivy League),10,3-7,310:46,31:04
33,Rhode Island (CAA),12,2-10,372:53,31:04
34,Villanova (CAA),13,9-4,403:13,31:01
35,Southeastern La. (Southland),13,8-5,402:57,30:59
36,Furman (SoCon),13,8-5,402:25,30:57
37,Norfolk St. (MEAC),12,5-7,369:43,30:48
38,Jacksonville (Pioneer),12,3-9,369:20,30:46
39,Harvard (Ivy League),10,4-6,307:26,30:44
40,Illinois St. (MVFC),15,10-5,460:29,30:41
41,New Hampshire (CAA),11,6-5,337:13,30:39
42,Alabama St. (SWAC),11,5-6,336:48,30:37
43,Jackson St. (SWAC),12,4-8,367:12,30:36
44,Western Caro. (SoCon),12,3-9,366:59,30:34
45,Maine (CAA),12,6-6,366:39,30:33
46,Lamar University (Southland),12,4-8,366:22,30:31
47,McNeese (Southland),12,7-5,365:26,30:27
48,Dayton (Pioneer),11,8-3,334:16,30:23
49,Austin Peay (OVC),15,11-4,455:46,30:23
50,Richmond (CAA),12,5-7,363:49,30:19
51,SFA (Southland),12,3-9,363:02,30:15
52,Fordham (Patriot),12,4-8,362:40,30:13
53,Saint Francis (PA) (NEC),12,6-6,362:24,30:12
54,Presbyterian (Big South),12,2-10,362:22,30:11
55,Eastern Ill. (OVC),12,1-11,362:15,30:11
56,Abilene Christian (Southland),12,5-7,361:56,30:09
57,Towson (CAA),12,7-5,361:39,30:08
58,ETSU (SoCon),12,3-9,360:56,30:04
59,Butler (Pioneer),12,3-9,360:35,30:02
60,South Dakota St. (MVFC),13,8-5,389:34,29:58
61,South Carolina St. (MEAC),11,8-3,329:31,29:57
62,Alabama A&M (SWAC),12,7-5,359:11,29:55
63,Chattanooga (SoCon),12,6-6,358:56,29:54
64,Missouri St. (MVFC),11,1-10,328:51,29:53
65,Florida A&M (MEAC),11,9-2,328:22,29:51
66,Tennessee St. (OVC),12,3-9,357:33,29:47
67,Mississippi Val. (SWAC),11,2-9,327:14,29:44
68,Valparaiso (Pioneer),12,1-11,356:07,29:40
69,Elon (CAA),11,5-6,326:09,29:39
70,Northwestern St. (Southland),12,3-9,355:27,29:37
71,Northern Colo. (Big Sky),12,2-10,355:21,29:36
72,Delaware St. (MEAC),12,2-10,354:12,29:31
73,Princeton (Ivy League),10,8-2,295:09,29:30
74,Jacksonville St. (OVC),12,6-6,354:03,29:30
75,Montana (Big Sky),14,10-4,412:52,29:29
76,Alcorn (SWAC),13,9-4,383:21,29:29
77,Campbell (Big South),11,6-5,324:02,29:27
