Rank,Team,G,W-L,TOP,AvgTOP
1,Lamar University (Southland),6,2-4,212:34,35:26
2,Davidson (Pioneer),7,4-3,247:24,35:21
3,South Carolina St. (MEAC),4,3-1,139:46,34:57
4,The Citadel (SoCon),12,2-10,413:51,34:29
5,Delaware (CAA),8,7-1,275:12,34:24
6,James Madison (CAA),8,7-1,274:38,34:20
7,San Diego (Pioneer),6,4-2,203:18,33:53
8,UAlbany (CAA),4,1-3,135:20,33:50
9,Prairie View (SWAC),3,2-1,101:27,33:49
10,Tennessee Tech (OVC),7,2-5,234:06,33:27
11,Youngstown St. (MVFC),7,1-6,233:43,33:23
12,Illinois St. (MVFC),4,1-3,132:27,33:07
13,Kennesaw St. (Big South),5,4-1,164:52,32:58
14,Monmouth (Big South),4,3-1,131:11,32:48
15,Southern U. (SWAC),5,4-1,162:15,32:27
16,Bucknell (Patriot),4,2-2,129:29,32:22
17,Wofford (SoCon),5,1-4,160:50,32:10
18,Sacred Heart (NEC),5,3-2,160:41,32:08
19,Mississippi Val. (SWAC),3,0-3,96:22,32:07
20,Montana (Big Sky),2,2-0,63:48,31:54
21,Valparaiso (Pioneer),6,4-2,191:08,31:51
22,UT Martin (OVC),7,3-4,220:17,31:28
23,Idaho (Big Sky),6,2-4,188:48,31:28
24,Abilene Christian (Southland),6,1-5,188:25,31:24
25,North Dakota (MVFC),7,5-2,219:46,31:24
26,Bryant (NEC),4,2-2,124:58,31:14
27,Southern Utah (Big Sky),6,1-5,187:26,31:14
28,Southeastern La. (Southland),7,4-3,217:51,31:07
29,Richmond (CAA),4,3-1,124:29,31:07
30,Chattanooga (SoCon),5,3-2,154:17,30:51
31,Southern Ill. (MVFC),10,6-4,308:30,30:51
32,Idaho St. (Big Sky),6,2-4,184:32,30:45
33,Nicholls (Southland),7,4-3,214:46,30:41
34,Furman (SoCon),7,3-4,214:43,30:40
35,Alabama A&M (SWAC),4,4-0,121:44,30:26
36,Presbyterian (Pioneer),7,4-3,212:45,30:24
37,Eastern Ky. (OVC),9,3-6,273:20,30:22
38,Alabama St. (SWAC),5,2-3,151:46,30:21
39,Eastern Wash. (Big Sky),7,5-2,212:23,30:20
40,North Dakota St. (MVFC),10,7-3,303:14,30:19
41,Holy Cross (Patriot),4,3-1,121:08,30:17
42,Fordham (Patriot),3,2-1,90:47,30:16
43,Campbell (Big South),4,0-4,120:43,30:11
44,SFA (Southland),10,6-4,301:12,30:07
45,Villanova (CAA),4,2-2,120:16,30:04
46,Delaware St. (MEAC),5,2-3,150:15,30:03
47,Tennessee St. (OVC),7,2-5,209:55,29:59
48,Mercer (SoCon),11,5-6,329:43,29:58
49,Maine (CAA),4,2-2,119:45,29:56
50,Portland St. (Big Sky),1,0-1,29:54,29:54
51,Butler (Pioneer),6,0-6,178:57,29:50
52,Gardner-Webb (Big South),4,2-2,118:41,29:40
53,McNeese (Southland),7,3-4,207:40,29:40
54,ETSU (SoCon),6,4-2,177:30,29:35
55,South Dakota St. (MVFC),10,8-2,295:48,29:35
56,Missouri St. (MVFC),10,5-5,295:32,29:33
57,VMI (SoCon),8,6-2,235:48,29:29
58,Grambling (SWAC),4,0-4,117:53,29:28
59,Jacksonville St. (OVC),13,10-3,380:36,29:17
60,Duquesne (NEC),5,4-1,146:04,29:13
61,Texas Southern (SWAC),2,0-2,58:23,29:12
62,Southeast Mo. St. (OVC),8,4-4,233:31,29:11
63,Murray St. (OVC),7,5-2,204:10,29:10
64,Weber St. (Big Sky),6,5-1,174:49,29:08
65,UC Davis (Big Sky),5,3-2,145:40,29:08
66,Houston Baptist (Southland),4,1-3,115:55,28:59
67,Eastern Ill. (OVC),6,1-5,173:49,28:58
68,Robert Morris (Big South),3,0-3,86:42,28:54
69,Ark.-Pine Bluff (SWAC),5,4-1,144:29,28:54
70,UNI (MVFC),7,3-4,201:31,28:47
71,Sam Houston (Southland),10,10-0,286:52,28:41
72,Lafayette (Patriot),3,2-1,86:00,28:40
73,Stony Brook (CAA),4,1-3,114:39,28:40
74,LIU (NEC),4,2-2,114:27,28:37
75,Lehigh (Patriot),3,0-3,85:12,28:24
76,Colgate (Patriot),2,0-2,56:38,28:19
77,Austin Peay (OVC),9,4-5,251:56,28:00
78,William & Mary (CAA),3,1-2,83:52,27:57
79,Central Ark. (Southland),9,5-4,249:29,27:43
80,Charleston So. (Big South),4,2-2,110:30,27:37
81,Samford (SoCon),7,4-3,192:32,27:30
82,Northern Ariz. (Big Sky),5,3-2,136:28,27:18
83,Jackson St. (SWAC),6,3-3,163:18,27:13
84,Drake (Pioneer),5,2-3,135:21,27:04
85,Cal Poly (Big Sky),3,0-3,81:10,27:03
86,UIW (Southland),6,3-3,160:47,26:48
87,Wagner (NEC),2,0-2,53:19,26:39
88,Stetson (Pioneer),4,0-4,106:10,26:33
89,Northwestern St. (Southland),6,1-5,158:15,26:23
90,Elon (CAA),6,1-5,157:52,26:19
91,New Hampshire (CAA),1,0-1,26:17,26:17
92,South Dakota (MVFC),4,1-3,105:03,26:16
93,Rhode Island (CAA),3,2-1,78:46,26:15
94,Morehead St. (Pioneer),7,4-3,182:40,26:06
95,Western Caro. (SoCon),9,1-8,229:03,25:27
96,Howard (MEAC),2,0-2,49:48,24:54
97,Western Ill. (MVFC),6,1-5,142:21,23:44
