Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Eastern Wash. (Big Sky),13,10-3,"1,055","7,209",6.83,75,554.5
2,Southeastern La. (Southland),13,9-4,"1,015","7,173",7.07,76,551.8
3,Presbyterian (Pioneer),11,2-9,978,"5,693",5.82,55,517.5
4,Nicholls (Southland),11,6-5,817,"5,425",6.64,45,493.2
5,Sam Houston (WAC),12,11-1,889,"5,891",6.63,63,490.9
6,UIW (Southland),13,10-3,956,"6,334",6.63,70,487.2
7,Alabama A&M (SWAC),10,7-3,740,"4,811",6.50,50,481.1
8,Western Caro. (SoCon),11,4-7,849,"5,187",6.11,42,471.5
9,Sacramento St. (Big Sky),12,9-3,888,"5,567",6.27,41,463.9
10,Samford (SoCon),11,4-7,823,"4,936",6.00,49,448.7
11,Fordham (Patriot),11,6-5,741,"4,922",6.64,50,447.5
12,Brown (Ivy League),10,2-8,817,"4,452",5.45,37,445.2
13,Davidson (Pioneer),11,8-3,780,"4,880",6.26,54,443.6
14,South Dakota St. (MVFC),15,11-4,959,"6,606",6.89,64,440.4
15,Norfolk St. (MEAC),11,6-5,781,"4,844",6.20,48,440.4
16,Missouri St. (MVFC),12,8-4,846,"5,238",6.19,45,436.5
17,James Madison (CAA),14,12-2,971,"6,096",6.28,59,435.4
18,Morehead St. (Pioneer),11,7-4,835,"4,779",5.72,43,434.5
19,North Dakota St. (MVFC),15,14-1,935,"6,472",6.92,65,431.5
20,Texas Southern (SWAC),10,2-8,679,"4,295",6.33,38,429.5
21,SFA (WAC),12,8-4,830,"5,077",6.12,43,423.1
22,Central Ark. (ASUN),11,5-6,748,"4,647",6.21,51,422.5
23,Austin Peay (OVC),11,6-5,832,"4,624",5.56,42,420.4
24,VMI (SoCon),11,6-5,846,"4,597",5.43,41,417.9
25,Southern Ill. (MVFC),13,8-5,918,"5,399",5.88,48,415.3
26,Portland St. (Big Sky),11,5-6,785,"4,548",5.79,40,413.5
27,Hampton (Big South),11,5-6,749,"4,518",6.03,39,410.7
28,Mercer (SoCon),10,7-3,658,"4,094",6.22,39,409.4
29,ETSU (SoCon),13,11-2,867,"5,319",6.13,52,409.2
