Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,Columbia (Ivy League),10,7-3,5,3,8
1,Dartmouth (Ivy League),10,9-1,5,3,8
3,Maine (CAA),11,6-5,3,6,9
3,Marist (Pioneer),10,5-5,2,7,9
3,McNeese (Southland),11,4-7,6,3,9
3,Montana St. (Big Sky),15,12-3,5,4,9
7,Dayton (Pioneer),10,6-4,3,7,10
7,Duquesne (NEC),10,7-3,2,8,10
7,Elon (CAA),11,6-5,5,5,10
7,Saint Francis (PA) (NEC),11,5-6,5,5,10
11,Alcorn (SWAC),11,6-5,6,5,11
11,Bryant (NEC),11,7-4,7,4,11
11,Princeton (Ivy League),10,9-1,3,8,11
14,ETSU (SoCon),13,11-2,6,6,12
14,Eastern Wash. (Big Sky),13,10-3,4,8,12
14,Georgetown (Patriot),10,2-8,3,9,12
14,Harvard (Ivy League),10,8-2,4,8,12
14,James Madison (CAA),14,12-2,7,5,12
14,LIU (NEC),10,2-8,7,5,12
14,Lafayette (Patriot),11,3-8,3,9,12
14,North Dakota St. (MVFC),15,14-1,5,7,12
22,Delaware St. (MEAC),11,5-6,8,5,13
22,San Diego (Pioneer),11,7-4,3,10,13
22,Wofford (SoCon),11,1-10,5,8,13
25,Alabama St. (SWAC),11,5-6,4,10,14
25,Central Ark. (ASUN),11,5-6,2,12,14
25,Colgate (Patriot),11,5-6,3,11,14
25,Drake (Pioneer),10,2-8,3,11,14
25,Eastern Ky. (ASUN),11,7-4,4,10,14
25,Florida A&M (SWAC),12,9-3,7,7,14
25,Holy Cross (Patriot),13,10-3,5,9,14
25,Howard (MEAC),11,3-8,6,8,14
25,Indiana St. (MVFC),11,5-6,3,11,14
25,Lamar University (ASUN),10,1-9,9,5,14
25,Monmouth (Big South),11,7-4,8,6,14
25,Penn (Ivy League),10,3-7,2,12,14
25,Rhode Island (CAA),11,7-4,7,7,14
25,South Dakota St. (MVFC),15,11-4,7,7,14
25,Southeast Mo. St. (OVC),11,4-7,5,9,14
25,Stetson (Pioneer),10,3-7,4,10,14
25,Tennessee St. (OVC),11,5-6,8,6,14
25,The Citadel (SoCon),11,4-7,9,5,14
43,Charleston So. (Big South),10,4-6,5,10,15
43,Furman (SoCon),11,6-5,6,9,15
43,Illinois St. (MVFC),11,4-7,8,7,15
43,N.C. A&T (Big South),11,5-6,6,9,15
43,Sacramento St. (Big Sky),12,9-3,7,8,15
43,Yale (Ivy League),10,5-5,3,12,15
43,Youngstown St. (MVFC),10,3-7,4,11,15
50,Central Conn. St. (NEC),11,4-7,7,9,16
50,Davidson (Pioneer),11,8-3,9,7,16
50,Delaware (CAA),11,5-6,6,10,16
50,Hampton (Big South),11,5-6,4,12,16
50,Jacksonville St. (ASUN),11,5-6,7,9,16
50,N.C. Central (MEAC),11,6-5,10,6,16
50,Norfolk St. (MEAC),11,6-5,11,5,16
50,Northern Ariz. (Big Sky),11,5-6,6,10,16
50,Robert Morris (Big South),10,4-6,8,8,16
50,Sam Houston (ASUN),12,11-1,5,11,16
50,William & Mary (CAA),11,6-5,6,10,16
61,UAlbany (CAA),11,2-9,10,7,17
61,Grambling (SWAC),11,4-7,6,11,17
61,Mississippi Val. (SWAC),11,4-7,7,10,17
61,North Dakota (MVFC),11,5-6,10,7,17
61,Northern Colo. (Big Sky),11,3-8,6,11,17
61,Sacred Heart (NEC),12,8-4,9,8,17
61,South Carolina St. (MEAC),12,7-5,3,14,17
61,South Dakota (MVFC),12,7-5,8,9,17
61,Southern U. (SWAC),11,4-7,7,10,17
61,Stony Brook (CAA),11,5-6,6,11,17
61,Texas Southern (SWAC),10,2-8,13,4,17
72,Abilene Christian (ASUN),11,5-6,6,12,18
72,Alabama A&M (SWAC),10,7-3,9,9,18
72,Austin Peay (OVC),11,6-5,9,9,18
72,Bucknell (Patriot),11,1-10,5,13,18
72,Cornell (Ivy League),10,2-8,4,14,18
72,Fordham (Patriot),11,6-5,9,9,18
72,Lehigh (Patriot),11,3-8,8,10,18
72,Northwestern St. (Southland),11,3-8,8,10,18
72,SFA (ASUN),12,8-4,7,11,18
72,Weber St. (Big Sky),11,6-5,10,8,18
82,Chattanooga (SoCon),11,6-5,6,13,19
82,Idaho (Big Sky),11,4-7,6,13,19
82,Kennesaw St. (Big South),13,11-2,15,4,19
82,Mercer (SoCon),10,7-3,7,12,19
82,Morgan St. (MEAC),11,2-9,4,15,19
82,Southern Ill. (MVFC),13,8-5,7,12,19
82,UIW (Southland),13,10-3,9,10,19
82,Villanova (CAA),13,10-3,9,10,19
82,Wagner (NEC),11,0-11,9,10,19
91,Gardner-Webb (Big South),11,4-7,14,6,20
91,Samford (SoCon),11,4-7,5,15,20
91,UC Davis (Big Sky),12,8-4,2,18,20
91,UT Martin (OVC),13,10-3,10,10,20
91,VMI (SoCon),11,6-5,7,13,20
91,Western Ill. (MVFC),11,2-9,6,14,20
97,Missouri St. (MVFC),12,8-4,10,11,21
97,Montana (Big Sky),13,10-3,8,13,21
97,Murray St. (OVC),11,6-5,6,15,21
97,New Hampshire (CAA),11,3-8,9,12,21
97,Richmond (CAA),11,6-5,13,8,21
97,Southern Utah (Big Sky),11,1-10,8,13,21
97,Valparaiso (Pioneer),11,4-7,5,16,21
104,Butler (Pioneer),11,3-8,8,14,22
104,Campbell (Big South),11,3-8,12,10,22
104,Jackson St. (SWAC),13,11-2,14,8,22
104,Towson (CAA),11,4-7,7,15,22
104,UNI (MVFC),12,6-6,7,15,22
109,Cal Poly (Big Sky),11,2-9,8,15,23
109,Eastern Ill. (OVC),11,1-10,6,17,23
109,Idaho St. (Big Sky),11,1-10,9,14,23
109,Morehead St. (Pioneer),11,7-4,3,20,23
113,Bethune-Cookman (SWAC),11,2-9,10,14,24
113,Nicholls (Southland),11,6-5,9,15,24
113,Portland St. (Big Sky),11,5-6,12,12,24
116,Prairie View (SWAC),12,7-5,12,13,25
116,Southeastern La. (Southland),13,9-4,15,10,25
118,Ark.-Pine Bluff (SWAC),11,2-9,12,14,26
119,Brown (Ivy League),10,2-8,13,14,27
119,Tennessee Tech (OVC),11,3-8,8,19,27
121,Houston Baptist (Southland),11,0-11,13,19,32
121,Western Caro. (SoCon),11,4-7,14,18,32
