team,conference,vs FBS/FCS,SP+,rank,pctile,Off. SP+,rank,Def. SP+,rank
North Dakota State,MVC,14-1,29.3,1,99.3%,37.0,21,7.7,2
James Madison,CAA,12-2,24.6,2,98.0%,38.4,15,13.8,14
South Dakota State,MVC,10-4,23.1,3,97.3%,40.2,11,17.1,23
Dartmouth,Ivy League,9-1,23.1,4,97.3%,34.7,24,11.6,10
Princeton,Ivy League,9-1,20.9,5,95.9%,39.5,12,18.6,28
Harvard,Ivy League,8-2,20.4,6,95.6%,30.9,39,10.4,8
Sam Houston,A-Sun/WAC,11-1,18.2,7,93.5%,43.2,6,25.0,54
Missouri State,MVC,8-4,18.1,8,93.5%,43.4,5,25.2,56
Northern Iowa,MVC,6-6,17.6,9,92.9%,24.2,75,6.6,1
Montana State,Big Sky,12-3,17.1,10,92.3%,25.1,71,8.1,3
Montana,Big Sky,10-3,17.0,11,92.2%,31.9,34,14.9,17
Villanova,CAA,10-3,16.7,12,91.8%,35.1,23,18.4,26
Southern Illinois,MVC,8-5,16.6,13,91.7%,41.2,8,24.6,51
Kennesaw State,Big South,10-2,15.9,14,90.8%,33.2,28,17.2,24
Southeastern Louisiana,Southland,9-4,15.7,15,90.5%,54.0,1,38.3,111
Eastern Washington,Big Sky,9-3,15.6,16,90.4%,48.9,2,33.3,98
South Dakota,MVC,7-5,15.4,17,90.0%,25.5,69,10.1,7
North Dakota,MVC,5-6,15.0,18,89.5%,23.5,79,8.5,4
Incarnate Word,Southland,10-3,14.5,19,88.7%,47.2,3,32.7,95
Weber State,Big Sky,6-5,13.9,20,87.7%,31.9,33,18.0,25
Yale,Ivy League,5-4,13.5,21,87.0%,40.9,10,27.4,74
Richmond,CAA,6-5,13.1,22,86.3%,26.6,60,13.5,13
Chattanooga,Southern,6-5,11.9,23,84.0%,20.5,98,8.6,6
Sacramento State,Big Sky,9-3,11.9,24,84.0%,27.1,56,15.1,18
Nicholls State,Southland,6-5,11.9,25,83.9%,38.0,17,26.1,64
Stephen F. Austin,A-Sun/WAC,7-4,11.3,26,82.8%,26.1,65,14.8,16
Illinois State,MVC,4-7,10.8,27,81.7%,21.7,90,10.9,9
ETSU,Southern,10-2,10.6,28,81.3%,30.5,43,19.9,31
Monmouth,Big South,7-4,10.5,29,81.0%,37.7,18,27.2,71
